# Flower Power Crossword topology batch file
# Words 1 to 14
c_1_1 c_2_1 c_3_1 c_4_1 c_5_1 c_6_1
c_7_2 c_1_2 c_2_2 c_3_2 c_4_2 c_5_2
c_6_3 c_7_3 c_1_3 c_2_3 c_3_3 c_4_3
c_5_4 c_6_4 c_7_4 c_1_4 c_2_4 c_3_4
c_4_5 c_5_5 c_6_5 c_7_5 c_1_5 c_2_5
c_3_6 c_4_6 c_5_6 c_6_6 c_7_6 c_1_6
c_2_7 c_3_7 c_4_7 c_5_7 c_6_7 c_7_7
c_1_8 c_2_8 c_3_8 c_4_8 c_5_8 c_6_8
c_7_9 c_1_9 c_2_9 c_3_9 c_4_9 c_5_9
c_6_10 c_7_10 c_1_10 c_2_10 c_3_10 c_4_10
c_5_11 c_6_11 c_7_11 c_1_11 c_2_11 c_3_11
c_4_12 c_5_12 c_6_12 c_7_12 c_1_12 c_2_12
c_3_13 c_4_13 c_5_13 c_6_13 c_7_13 c_1_13
c_2_14 c_3_14 c_4_14 c_5_14 c_6_14 c_7_14

# Words 15 to 28
c_1_1 c_1_2 c_1_3 c_1_4 c_1_5 c_1_6
c_7_2 c_7_3 c_7_4 c_7_5 c_7_6 c_7_7
c_6_3 c_6_4 c_6_5 c_6_6 c_6_7 c_6_8
c_5_4 c_5_5 c_5_6 c_5_7 c_5_8 c_5_9
c_4_5 c_4_6 c_4_7 c_4_8 c_4_9 c_4_10
c_3_6 c_3_7 c_3_8 c_3_9 c_3_10 c_3_11
c_2_7 c_2_8 c_2_9 c_2_10 c_2_11 c_2_12
c_1_8 c_1_9 c_1_10 c_1_11 c_1_12 c_1_13
c_7_9 c_7_10 c_7_11 c_7_12 c_7_13 c_7_14
c_6_10 c_6_11 c_6_12 c_6_13 c_6_14 c_6_1
c_5_11 c_5_12 c_5_13 c_5_14 c_5_1 c_5_2
c_4_12 c_4_13 c_4_14 c_4_1 c_4_2 c_4_3
c_3_13 c_3_14 c_3_1 c_3_2 c_3_3 c_3_4
c_2_14 c_2_1 c_2_2 c_2_3 c_2_4 c_2_5
